question_id,question,category,answer_1,score_1,answer_2,score_2,answer_3,score_3,answer_4,score_4,answer_5,score_5,answer_6,score_6,source_type,notes
Q0001,Name a food,Food,PIZZA,38.0,BURGER,24.0,FRIES,16.0,CHICKEN,10.0,PASTA,7.0,ICE CREAM,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0002,Name your favorite food,Food,PIZZA,38.0,BURGER,24.0,FRIES,16.0,CHICKEN,10.0,PASTA,7.0,ICE CREAM,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0003,Name a popular food,Food,PIZZA,38.0,BURGER,24.0,FRIES,16.0,CHICKEN,10.0,PASTA,7.0,ICE CREAM,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0004,Name an animal,Animals,DOG,38.0,CAT,24.0,HORSE,16.0,COW,10.0,PIG,7.0,CHICKEN,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0005,Name a common animal,Animals,DOG,38.0,CAT,24.0,HORSE,16.0,COW,10.0,PIG,7.0,CHICKEN,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0006,Name a animal,Animals,LION,38.0,TIGER,24.0,ELEPHANT,16.0,GIRAFFE,10.0,ZEBRA,7.0,MONKEY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0007,Name your favorite animal,Animals,LION,38.0,TIGER,24.0,ELEPHANT,16.0,GIRAFFE,10.0,ZEBRA,7.0,MONKEY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0008,Name a popular animal,Animals,LION,38.0,TIGER,24.0,ELEPHANT,16.0,GIRAFFE,10.0,ZEBRA,7.0,MONKEY,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0009,Name a place,Travel,PARIS,38.0,LONDON,24.0,NEW YORK,16.0,TOKYO,10.0,ROME,7.0,DUBAI,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0010,Name your favorite place,Travel,PARIS,38.0,LONDON,24.0,NEW YORK,16.0,TOKYO,10.0,ROME,7.0,DUBAI,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0011,Name a popular place,Travel,PARIS,38.0,LONDON,24.0,NEW YORK,16.0,TOKYO,10.0,ROME,7.0,DUBAI,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0012,Name something you place for a trip,Travel,PACK,38.0,BOOK,24.0,WEAR,16.0,BUY,10.0,PLAN,7.0,BRING,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0013,Name one thing you place for a trip,Travel,PACK,38.0,BOOK,24.0,WEAR,16.0,BUY,10.0,PLAN,7.0,BRING,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0014,Name something you place at an airport,Travel,CHECK IN,38.0,SHOW YOUR PASSPORT,24.0,WAIT,16.0,EAT,10.0,SHOP,7.0,BOARD,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0015,Name one thing you place at an airport,Travel,CHECK IN,38.0,SHOW YOUR PASSPORT,24.0,WAIT,16.0,EAT,10.0,SHOP,7.0,BOARD,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
Q0016,Name a place you might take,Travel,FLIGHT,38.0,TRAIN,24.0,BUS,16.0,TAXI,10.0,CRUISE,7.0,ROAD TRIP,5.0,synthetic_original,Popularity weights are modeled for gameplay; not real survey data and not copied from Famobi.
